Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-04-18 14:46:15.309 +0900,"Failure",0:00:00,1,0,0,"20230418_144615.309/LogFile.txt","","SenseTalk Compiler Exception -- in waitfor_text:\nWarning at line 5: Warning - Non-matching handler name: WaitForText",0
2023-04-18 14:46:34.149 +0900,"Success",0:00:02,0,0,0,"20230418_144634.149/LogFile.txt","","",1
2023-07-10 14:57:23.630 +0900,"Success",0:00:00,0,0,0,"20230710_145723.630/LogFile.txt","","",1
