Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-07-31 10:31:52.215 +0900,"Success",0:00:01,0,0,0,"20230731_103152.215/LogFile.txt","","",1
2023-07-31 10:36:28.927 +0900,"Success",0:00:00,0,0,0,"20230731_103628.927/LogFile.txt","","",1
